School Id,Primary Domain,IG Followers (CD Output),Enrolled Students,# Products with 5 or more students enrolled,Custom Primary Domain,PO Business Email,Qt Admins,Has Student (All),Has Student (Currenty Active Only),Set Up,School is a High Importer,Final Category - All Students,Final Category - Currently Active Students,Final Category,Which Category
1102174.0,training-familias-saludables-pr.teachable.com,,53,1,false,true,3,true,false,true,true,LMS/Bypasser,Aspiring,LMS/Bypasser,only one
1424832.0,school.emacademy.se,,109,4,true,false,2,true,true,true,false,Aspiring,LMS/Bypasser,LMS/Bypasser,only one
2094535.0,lena-aspette-s-school.teachable.com,,355,4,false,true,1,true,true,true,true,LMS/Bypasser,LMS/Bypasser,LMS/Bypasser,both
2477822.0,next-level-therapy-lisa-loveless.teachable.com,,79,4,false,true,1,true,false,true,true,LMS/Bypasser,Aspiring,LMS/Bypasser,only one
364798.0,university.decouvertes.fr,,1213,92,true,true,4,true,true,true,false,Aspiring,LMS/Bypasser,LMS/Bypasser,only one
1333892.0,courses.homeqb.com,,8197,81,true,true,7,true,true,true,true,LMS/Bypasser,LMS/Bypasser,LMS/Bypasser,both
1922065.0,adayafterdayhomecare.teachable.com,,82,15,false,true,2,true,true,true,false,Aspiring,LMS/Bypasser,LMS/Bypasser,only one
150375.0,kristinlarsen.teachable.com,,8083,35,false,true,1,true,true,true,true,LMS/Bypasser,LMS/Bypasser,LMS/Bypasser,both
408427.0,tslethamduong.teachable.com,,1158,23,false,true,4,true,true,true,true,LMS/Bypasser,LMS/Bypasser,LMS/Bypasser,both
571255.0,product-sourcing-school.teachable.com,,588,1,false,true,2,true,true,true,true,LMS/Bypasser,LMS/Bypasser,LMS/Bypasser,both
641857.0,salvandovidas.teachable.com,,7035,8,false,true,3,true,true,true,true,LMS/Bypasser,LMS/Bypasser,LMS/Bypasser,both
1245022.0,courses.prodsecrets.com,,899,4,true,true,2,true,true,true,true,LMS/Bypasser,LMS/Bypasser,LMS/Bypasser,both
2264898.0,iloveyogatherapyschool.teachable.com,,143,3,false,true,1,true,true,true,true,LMS/Bypasser,LMS/Bypasser,LMS/Bypasser,both
2308946.0,picaluna-beautiful-funerals-s-school.teachable.com,,61,2,false,true,2,true,true,true,false,Aspiring,LMS/Bypasser,LMS/Bypasser,only one
2514360.0,urotrainer-academy.teachable.com,,127,5,false,true,1,true,false,true,true,LMS/Bypasser,Aspiring,LMS/Bypasser,only one
800251.0,capp-training.teachable.com,,303,6,false,true,2,true,true,true,false,Aspiring,LMS/Bypasser,LMS/Bypasser,only one
2144936.0,budswarehousejobtraining.teachable.com,,28,1,false,true,1,true,true,true,false,Aspiring,LMS/Bypasser,LMS/Bypasser,only one
407624.0,alic-som.teachable.com,,60,5,false,true,3,true,true,true,true,LMS/Bypasser,LMS/Bypasser,LMS/Bypasser,both
561376.0,cater-care.teachable.com,,7810,9,false,true,7,true,true,true,true,LMS/Bypasser,LMS/Bypasser,LMS/Bypasser,both
1164472.0,gci-consultant-portal.teachable.com,,120,16,false,true,2,true,true,true,true,LMS/Bypasser,LMS/Bypasser,LMS/Bypasser,both
1746264.0,dr-mohamed-elshafey.teachable.com,,764,21,false,false,3,true,false,true,true,LMS/Bypasser,Aspiring,LMS/Bypasser,only one
85821.0,wasjournalistenwollen.teachable.com,,3396,63,false,true,6,true,true,true,true,LMS/Bypasser,LMS/Bypasser,LMS/Bypasser,both
178507.0,strategetics.teachable.com,,24,5,false,true,1,true,true,true,false,Aspiring,LMS/Bypasser,LMS/Bypasser,only one
683037.0,distancelearning.bonjourinstitute.com,,826,5,true,true,3,true,true,true,true,LMS/Bypasser,LMS/Bypasser,LMS/Bypasser,both
684943.0,cincmasterseries.teachable.com,,128,3,false,true,6,true,false,true,true,LMS/Bypasser,Aspiring,LMS/Bypasser,only one
732366.0,learn.nlpericksonian.com,,772,5,true,true,1,true,true,true,true,LMS/Bypasser,LMS/Bypasser,LMS/Bypasser,both
803973.0,inevitrade.teachable.com,,11589,3,false,true,3,true,true,true,true,LMS/Bypasser,LMS/Bypasser,LMS/Bypasser,both
1210412.0,raquel-goncalves-coaching-training.teachable.com,,65,6,false,true,1,true,true,true,false,Aspiring,LMS/Bypasser,LMS/Bypasser,only one
1390072.0,boiler-university-ii.teachable.com,,132,2,false,true,6,true,false,true,true,LMS/Bypasser,Aspiring,LMS/Bypasser,only one
1426783.0,oconeeboe.teachable.com,,142,9,false,true,3,true,true,true,true,LMS/Bypasser,LMS/Bypasser,LMS/Bypasser,both
1452482.0,eugene-fanfan-s-school.teachable.com,,351,1,false,true,2,true,false,true,true,LMS/Bypasser,Aspiring,LMS/Bypasser,only one
1473440.0,publicrelationsboot.camp,,102,6,true,true,4,true,false,true,true,LMS/Bypasser,Aspiring,LMS/Bypasser,only one
2215265.0,canaan-worship-center-s-school.teachable.com,,36,1,false,true,1,true,false,true,true,LMS/Bypasser,Aspiring,LMS/Bypasser,only one
2261552.0,patricia-hurst-s-school.teachable.com,,33,1,false,true,1,true,true,true,false,Aspiring,LMS/Bypasser,LMS/Bypasser,only one
2571840.0,pipdecks.teachable.com,,58,2,false,true,5,true,false,true,true,LMS/Bypasser,Aspiring,LMS/Bypasser,only one
291927.0,cours.marieboudon.com,,13532,13,true,true,5,true,true,true,true,LMS/Bypasser,LMS/Bypasser,LMS/Bypasser,both
1183057.0,casebook.teachable.com,,2927,17,false,true,8,true,true,true,true,LMS/Bypasser,LMS/Bypasser,LMS/Bypasser,both
1191799.0,pheasants-forever.teachable.com,,493,39,false,true,13,true,false,true,true,LMS/Bypasser,Aspiring,LMS/Bypasser,only one
212641.0,uaw-ford.teachable.com,,440,7,false,false,6,true,true,true,false,Aspiring,LMS/Bypasser,LMS/Bypasser,only one
580613.0,academy.feelgud.be,,1240,6,true,true,3,true,true,true,true,LMS/Bypasser,LMS/Bypasser,LMS/Bypasser,both
592704.0,boll-weevil.teachable.com,,30,47,false,true,2,true,true,true,true,LMS/Bypasser,LMS/Bypasser,LMS/Bypasser,both
633900.0,tigergraph-university.teachable.com,,2086,11,false,true,2,true,false,true,true,LMS/Bypasser,Aspiring,LMS/Bypasser,only one
640978.0,www.summit-or-academy.com,,40,3,true,true,6,true,true,true,false,Aspiring,LMS/Bypasser,LMS/Bypasser,only one
788358.0,vpm.jvpm.club,,83,11,true,true,1,true,false,true,true,LMS/Bypasser,Aspiring,LMS/Bypasser,only one
1207238.0,islandschool.teachable.com,,134,5,false,true,2,true,true,true,false,Aspiring,LMS/Bypasser,LMS/Bypasser,only one
1271763.0,evidence-iq-training.teachable.com,,1050,2,false,true,6,true,true,true,false,Aspiring,LMS/Bypasser,LMS/Bypasser,only one
1424309.0,reliable-carriers-academy.teachable.com,,560,9,false,true,7,true,true,true,true,LMS/Bypasser,LMS/Bypasser,LMS/Bypasser,both
1006824.0,jasco.teachable.com,,269,45,false,true,10,true,true,true,true,LMS/Bypasser,LMS/Bypasser,LMS/Bypasser,both
1748187.0,rem-vlasblom-test-s-school.teachable.com,,103,1,false,true,1,true,true,true,false,Aspiring,LMS/Bypasser,LMS/Bypasser,only one
468216.0,quickcontractors.teachable.com,,268,11,false,true,9,true,true,true,true,LMS/Bypasser,LMS/Bypasser,LMS/Bypasser,both
948955.0,b-a-b.teachable.com,,117,2,false,true,2,true,true,true,true,LMS/Bypasser,LMS/Bypasser,LMS/Bypasser,both
1018331.0,school.no1seminar-college.com,,855,28,true,true,1,true,true,true,true,LMS/Bypasser,LMS/Bypasser,LMS/Bypasser,both
1066309.0,krishtel.teachable.com,,195,5,false,true,3,true,false,true,true,LMS/Bypasser,Aspiring,LMS/Bypasser,only one
1239668.0,www.nvbeautyacademy.com,752.0,30,2,true,false,4,true,true,true,false,Aspiring,LMS/Bypasser,LMS/Bypasser,only one
1382764.0,dairy-hoofcare-institute-school.teachable.com,,1540,153,false,true,1,true,true,true,true,LMS/Bypasser,LMS/Bypasser,LMS/Bypasser,both
1435186.0,antionese-m-wilson-s-school.teachable.com,,105,1,false,false,3,true,true,true,true,LMS/Bypasser,LMS/Bypasser,LMS/Bypasser,both
1529699.0,shari-van-de-craen-s-school.teachable.com,,150,8,false,true,1,true,false,true,true,LMS/Bypasser,Aspiring,LMS/Bypasser,only one
719654.0,vitaehs.teachable.com,,425,3,false,true,7,true,true,true,true,LMS/Bypasser,LMS/Bypasser,LMS/Bypasser,both
1623977.0,climberacademy.teachable.com,,739,10,false,true,6,true,true,true,true,LMS/Bypasser,LMS/Bypasser,LMS/Bypasser,both
2237166.0,goup-online.teachable.com,,314,6,false,true,1,true,false,true,true,LMS/Bypasser,Aspiring,LMS/Bypasser,only one
315038.0,proactivity.teachable.com,,72,3,false,true,3,true,true,true,false,Aspiring,LMS/Bypasser,LMS/Bypasser,only one
425656.0,archivingforthefuture.teachable.com,,4,0,false,true,1,true,true,true,false,Aspiring,LMS/Bypasser,LMS/Bypasser,only one
896451.0,flowerclique.teachable.com,,1105,7,false,true,5,true,true,true,true,LMS/Bypasser,LMS/Bypasser,LMS/Bypasser,both
1048699.0,earthship-biotecture-academy.teachable.com,,578,3,false,true,2,true,true,true,true,LMS/Bypasser,LMS/Bypasser,LMS/Bypasser,both
1146348.0,mind-z-academy.teachable.com,,120,2,false,true,1,true,false,true,true,LMS/Bypasser,Aspiring,LMS/Bypasser,only one
2085982.0,chicago-weight-loss-and-vitality-clinics.teachable.com,,281,6,false,true,7,true,true,true,false,Aspiring,LMS/Bypasser,LMS/Bypasser,only one
12097.0,learn.cvglobal.co,,1090,26,true,true,11,true,true,true,true,LMS/Bypasser,LMS/Bypasser,LMS/Bypasser,both
331562.0,whcga.teachable.com,,688,14,false,true,7,true,true,true,false,Aspiring,LMS/Bypasser,LMS/Bypasser,only one
536979.0,protailored-mentorship-program.teachable.com,,86,3,false,true,4,true,true,true,false,Aspiring,LMS/Bypasser,LMS/Bypasser,only one
963949.0,rsm.teachable.com,,975,4,false,true,7,true,true,true,true,LMS/Bypasser,LMS/Bypasser,LMS/Bypasser,both
1038019.0,courses.everyoungtraining.co.nz,,126,4,true,true,7,true,true,true,false,Aspiring,LMS/Bypasser,LMS/Bypasser,only one
1081041.0,momentummedina.teachable.com,,88,3,false,true,1,true,true,true,true,LMS/Bypasser,LMS/Bypasser,LMS/Bypasser,both
1106953.0,northedgetraining.teachable.com,,313,35,false,true,4,true,true,true,true,LMS/Bypasser,LMS/Bypasser,LMS/Bypasser,both
1530793.0,kurs.kapitalkurs.no,,136,3,true,true,2,true,false,true,true,LMS/Bypasser,Aspiring,LMS/Bypasser,only one
330720.0,academy.mattermost.com,,4945,26,true,true,17,true,true,true,false,Aspiring,LMS/Bypasser,LMS/Bypasser,only one
479348.0,idefp.com,,24,2,true,false,6,true,true,true,false,Aspiring,LMS/Bypasser,LMS/Bypasser,only one
806937.0,the-sanctuary1.teachable.com,,996,24,false,true,5,true,true,true,true,LMS/Bypasser,LMS/Bypasser,LMS/Bypasser,both
822368.0,educateandinspire.teachable.com,,781,15,false,true,1,true,true,true,true,LMS/Bypasser,LMS/Bypasser,LMS/Bypasser,both
